BA1H,,,BA2H,,,BA3F,,,BA4H,,,BA5F,,,BA6H,,,BA7F,,,BA8F,,,BA9H,,,BA10F,,,BA11F,,
Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test
ca,ta,ba,lu,br,br,al,al,al,ép,cl,cl,ch,ch,ch,ba,ba,ba,si,si,si,co,ép,si,ti,ti,cl,cu,pi,mo,cu,cu,li
ép,pi,br,br,cl,al,pi,br,cu,li,pi,ba,ti,ti,ti,li,pi,mo,la,lu,lu,br,cu,pi,al,ép,si,ch,br,ba,ta,ta,co
co,lu,ép,ba,dé,pi,to,cl,lu,to,si,si,li,al,al,ch,mo,li,lu,la,br,pi,br,ta,lu,pi,mo,br,mo,ta,al,ch,mo
li,mo,mo,ti,si,la,lu,ti,co,ba,la,la,ép,si,co,pi,li,vo,ca,ép,ép,cu,si,ép,ta,ch,al,to,ca,vo,li,al,al
mo,br,pi,ta,al,mo,br,si,ta,si,al,al,mo,br,vo,co,to,pi,li,ba,dé,to,ta,li,li,al,li,ba,si,pi,ca,to,si
al,ép,to,ch,vo,si,cu,lu,ba,cu,ép,vo,ca,vo,dé,ta,dé,la,br,mo,ti,ch,to,dé,ba,br,ti,la,co,ch,ba,pi,ta
lu,la,li,ép,li,vo,ca,ba,ti,la,li,dé,br,lu,si,al,ca,dé,mo,vo,ba,ép,ti,vo,vo,cl,ch,mo,vo,si,si,la,cu
ti,cl,si,ca,ca,co,vo,ta,pi,co,ba,ép,ta,pi,br,mo,ta,ta,ép,pi,cl,ta,dé,br,dé,ba,ba,si,ti,co,ch,co,ch
br,li,la,cu,pi,,ch,li,si,al,to,li,ba,co,la,to,ti,ti,ti,cl,ta,mo,vo,cu,pa,cu,br,ti,ch,dé,lu,si,pi
vo,ba,,pi,la,,ba,to,ch,vo,vo,lu,lu,cu,pi,ép,si,ch,ta,dé,vo,ba,al,al,br,li,pi,ca,ép,cu,ti,lu,
to,to,,si,mo,,ta,ca,li,ca,dé,ca,si,la,lu,cu,cu,al,ba,ti,,lu,ch,ch,co,si,cu,ép,cu,ca,mo,mo,
si,,,mo,,,ép,ép,ca,ch,ca,pi,al,dé,li,ca,ch,br,vo,br,,li,ba,ti,ca,,,ta,ba,br,li,,
ch,,,la,,,dé,ch,,br,cu,to,cu,li,ba,ti,br,si,ch,,,ti,cl,cl,ch,,,lu,dé,,ép,,
cl,,,to,,,co,co,,lu,lu,mo,to,to,,la,co,,to,,,ca,ca,ca,ép,,,li,ta,,br,,
la,,,al,,,mo,cu,,ta,,ta,co,,,lu,ép,,cu,,,si,pi,to,cl,,,co,,,la,,
dé,,,vo,,,li,,,mo,,,pi,,,br,al,,cl,,,la,li,co,la,,,dé,,,co,,
cu,,,co,,,la,,,ti,,,la,,,vo,vo,,co,,,dé,,ba,si,,,vo,,,pi,,
pi,,,cl,,,ti,,,dé,,,cl,,,si,la,,pi,,,vo,,,pi,,,pi,,,vo,,
ta,,,li,,,si,,,cl,,,dé,,,dé,,,dé,,,cl,,,cu,,,al,,,cl,,
ba,,,dé,,,cl,,,pi,,,vo,,,cl,,,al,,,al,,,to,,,cl,,,to,,